CoconutMilk,Cardio
10,10
5,5
2,0
5,0
0,0
2,0
2,0
0,0
0,0
0,0
5,0
0,0
0,0
2,0
0,5
2,0
5,5
2,0
2,0
2,0
0,5
2,10
5,5
0,0
0,0
0,0
5,10
2,0
2,10
2,0
0,0
2,0
2,0
0,0
5,10
5,0
5,0
0,0
2,0
2,0
5,0
2,5
2,0
5,10
2,10
0,0
0,0
2,0
0,0
0,0
2,0
0,0
0,0
5,0
2,0
2,0
2,0
10,0
2,0
2,0
5,0
0,0
0,10
2,5
10,10
2,5
0,0
2,0
0,10
0,10
5,10
5,5
0,0
0,0
0,0
0,0
2,0
10,0
2,0
10,0
0,0
2,0
2,5
0,0
2,0
5,0
2,0
2,5
10,10
5,10
2,10
10,5
2,10
2,5
2,10
10,0
0,0
10,10
2,10
2,10
10,10
5,0
2,0
2,5
5,10
5,0
2,10
2,5
10,10
5,5
2,0
2,5
2,5
5,0
2,10
2,10
2,5
2,5
2,5
2,10
2,5
2,0
2,5
5,5
2,5
5,5
5,10
2,0
2,5
2,5
5,0
2,10
2,5
5,0
2,5
5,0
2,0
2,5
2,0
2,5
2,0
2,5
2,0
2,10
2,5
5,5
2,10
2,10
2,10
5,0
5,0
2,5
2,5
2,5
5,5
2,5
2,5
2,5
2,5
2,0
2,5
2,10
2,10
2,10
2,10
2,10
2,5
5,5
2,10
2,10
2,5
2,5
2,10
2,5
5,5
2,10
2,5
2,10
2,5
2,10
2,0
2,10
2,10
2,0
2,10
2,5
2,5
2,10
5,10
2,10
2,5
2,5
2,10
2,5
2,10
2,10
2,5
2,5
2,10
2,10
5,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,5
2,5
2,10
2,10
2,10
2,10
5,5
5,5
2,5
2,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
5,5
2,5
2,10
2,5
2,5
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
5,10
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,10
2,5
5,5
2,5
2,5
2,5
10,5
2,5
2,5
2,10
2,5
2,10
2,5
2,5
5,5
2,5
2,5
2,10
2,10
2,10
5,0
2,10
2,5
2,5
2,5
2,5
2,5
10,10
2,10
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,5
2,5
5,10
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
2,10
2,10
2,10
5,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
5,5
10,10
5,5
2,0
5,0
0,0
2,0
2,0
0,0
0,0
0,0
5,0
0,0
0,0
2,0
0,5
2,0
5,5
2,0
2,0
2,0
0,5
2,10
5,5
0,0
0,0
0,0
5,10
2,0
2,10
2,0
0,0
2,0
2,0
0,0
5,10
5,0
5,0
0,0
2,0
2,0
5,0
2,5
2,0
5,10
2,10
0,0
0,0
2,0
0,0
0,0
2,0
0,0
0,0
5,0
2,0
2,0
2,0
10,0
2,0
2,0
5,0
0,0
0,10
2,5
10,10
2,5
0,0
2,0
0,10
0,10
5,10
5,5
0,0
0,0
0,0
0,0
2,0
10,0
2,0
10,0
0,0
2,0
2,5
0,0
2,0
5,0
2,0
2,5
10,10
5,10
2,10
10,5
2,10
2,5
2,10
10,0
0,0
10,10
2,10
2,10
10,10
5,0
2,0
2,5
5,10
5,0
2,10
2,5
10,10
5,5
2,0
2,5
2,5
5,0
2,10
2,10
2,5
2,5
2,5
2,10
2,5
2,0
2,5
5,5
2,5
5,5
5,10
2,0
2,5
2,5
5,0
2,10
2,5
5,0
2,5
5,0
2,0
2,5
2,0
2,5
2,0
2,5
2,0
2,10
2,5
5,5
2,10
2,10
2,10
5,0
5,0
2,5
2,5
2,5
5,5
2,5
2,5
2,5
2,5
2,0
2,5
2,10
2,10
2,10
2,10
2,10
2,5
5,5
2,10
2,10
2,5
2,5
2,10
2,5
5,5
2,10
2,5
2,10
2,5
2,10
2,0
2,10
2,10
2,0
2,10
2,5
2,5
2,10
5,10
2,10
2,5
2,5
2,10
2,5
2,10
2,10
2,5
2,5
2,10
2,10
5,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,5
2,5
2,10
2,10
2,10
2,10
5,5
5,5
2,5
2,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
5,5
2,5
2,10
2,5
2,5
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
5,10
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,10
2,5
5,5
2,5
2,5
2,5
10,5
2,5
2,5
2,10
2,5
2,10
2,5
2,5
5,5
2,5
2,5
2,10
2,10
2,10
5,0
2,10
2,5
2,5
2,5
2,5
2,5
10,10
2,10
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,5
2,5
5,10
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
2,10
2,10
2,10
5,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
5,5
10,10
5,5
2,0
5,0
0,0
2,0
2,0
0,0
0,0
0,0
5,0
0,0
0,0
2,0
0,5
2,0
5,5
2,0
2,0
2,0
0,5
2,10
5,5
0,0
0,0
0,0
5,10
2,0
2,10
2,0
0,0
2,0
2,0
0,0
5,10
5,0
5,0
0,0
2,0
2,0
5,0
2,5
2,0
5,10
2,10
0,0
0,0
2,0
0,0
0,0
2,0
0,0
0,0
5,0
2,0
2,0
2,0
10,0
2,0
2,0
5,0
0,0
0,10
2,5
10,10
2,5
0,0
2,0
0,10
0,10
5,10
5,5
0,0
0,0
0,0
0,0
2,0
10,0
2,0
10,0
0,0
2,0
2,5
0,0
2,0
5,0
2,0
2,5
10,10
5,10
2,10
10,5
2,10
2,5
2,10
10,0
0,0
10,10
2,10
2,10
10,10
5,0
2,0
2,5
5,10
5,0
2,10
2,5
10,10
5,5
2,0
2,5
2,5
5,0
2,10
2,10
2,5
2,5
2,5
2,10
2,5
2,0
2,5
5,5
2,5
5,5
5,10
2,0
2,5
2,5
5,0
2,10
2,5
5,0
2,5
5,0
2,0
2,5
2,0
2,5
2,0
2,5
2,0
2,10
2,5
5,5
2,10
2,10
2,10
5,0
5,0
2,5
2,5
2,5
5,5
2,5
2,5
2,5
2,5
2,0
2,5
2,10
2,10
2,10
2,10
2,10
2,5
5,5
2,10
2,10
2,5
2,5
2,10
2,5
5,5
2,10
2,5
2,10
2,5
2,10
2,0
2,10
2,10
2,0
2,10
2,5
2,5
2,10
5,10
2,10
2,5
2,5
2,10
2,5
2,10
2,10
2,5
2,5
2,10
2,10
5,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,5
2,5
2,10
2,10
2,10
2,10
5,5
5,5
2,5
2,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
5,5
2,5
2,10
2,5
2,5
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
5,10
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,10
2,5
5,5
2,5
2,5
2,5
10,5
2,5
2,5
2,10
2,5
2,10
2,5
2,5
5,5
2,5
2,5
2,10
2,10
2,10
5,0
2,10
2,5
2,5
2,5
2,5
2,5
10,10
2,10
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,5
2,5
5,10
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
2,10
2,10
2,10
5,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
5,5
10,10
5,5
2,0
5,0
0,0
2,0
2,0
0,0
0,0
0,0
5,0
0,0
0,0
2,0
0,5
2,0
5,5
2,0
2,0
2,0
0,5
2,10
5,5
0,0
0,0
0,0
5,10
2,0
2,10
2,0
0,0
2,0
2,0
0,0
5,10
5,0
5,0
0,0
2,0
2,0
5,0
2,5
2,0
5,10
2,10
0,0
0,0
2,0
0,0
0,0
2,0
0,0
0,0
5,0
2,0
2,0
2,0
10,0
2,0
2,0
5,0
0,0
0,10
2,5
10,10
2,5
0,0
2,0
0,10
0,10
5,10
5,5
0,0
0,0
0,0
0,0
2,0
10,0
2,0
10,0
0,0
2,0
2,5
0,0
2,0
5,0
2,0
2,5
10,10
5,10
2,10
10,5
2,10
2,5
2,10
10,0
0,0
10,10
2,10
2,10
10,10
5,0
2,0
2,5
5,10
5,0
2,10
2,5
10,10
5,5
2,0
2,5
2,5
5,0
2,10
2,10
2,5
2,5
2,5
2,10
2,5
2,0
2,5
5,5
2,5
5,5
5,10
2,0
2,5
2,5
5,0
2,10
2,5
5,0
2,5
5,0
2,0
2,5
2,0
2,5
2,0
2,5
2,0
2,10
2,5
5,5
2,10
2,10
2,10
5,0
5,0
2,5
2,5
2,5
5,5
2,5
2,5
2,5
2,5
2,0
2,5
2,10
2,10
2,10
2,10
2,10
2,5
5,5
2,10
2,10
2,5
2,5
2,10
2,5
5,5
2,10
2,5
2,10
2,5
2,10
2,0
2,10
2,10
2,0
2,10
2,5
2,5
2,10
5,10
2,10
2,5
2,5
2,10
2,5
2,10
2,10
2,5
2,5
2,10
2,10
5,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,5
2,5
2,10
2,10
2,10
2,10
5,5
5,5
2,5
2,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
5,5
2,5
2,10
2,5
2,5
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
5,10
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,10
2,5
5,5
2,5
2,5
2,5
10,5
2,5
2,5
2,10
2,5
2,10
2,5
2,5
5,5
2,5
2,5
2,10
2,10
2,10
5,0
2,10
2,5
2,5
2,5
2,5
2,5
10,10
2,10
2,5
2,5
2,5
2,5
2,5
2,5
2,10
2,5
2,5
5,10
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
2,10
2,10
2,10
5,10
2,10
2,10
2,10
2,5
2,5
2,5
2,5
2,5
5,5
2,10
2,5
2,5
2,5
5,5
